director_name,num_critic_for_reviews,gross,genres,actor_1_name,movie_title,num_voted_users,num_user_for_reviews,language,budget,title_year,imdb_score,rank,movie_facebook_likes,profit
A. Raven Cruz,141,15935068,Adventure|Comedy|Drama,Rich Ceraulo,Grand Theft Parsons ,2953,6,English,50000,2015,9.5,16,480,15885068
Émile Gaudreault,149,469947,Drama|History|Romance|War,Jim Broadbent,War & Peace             ,9277,148,English,4500000,2011,9.3,16,11000,-4030053
Éric Tessier,82,25625110,Comedy|Drama,Philip Seymour Hoffman,Happiness ,55329,18,English,1200000,2012,9.2,16,0,24425110
Étienne Faure,8,296665,Documentary,Brad Pitt,Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,774,9,English,8000000,1997,9.1,16,590,-7703335
Álex de la Iglesia,287,14359793,Comedy|Romance|Sport,Dylan Moran,"Run, Fatboy, Run ",58509,114,English,989000,2011,9.1,16,0,13370793
Aaron Hann,95,56729973,Drama|Musical,Jossara Jinaro,Go for It! ,1015,372,English,5250000,2008,9.1,16,566,51479973
Aaron Schneider,252,3432342,Comedy|Drama|Romance,Celia Imrie,Imagine Me & You ,23023,30,English,40000000,1988,9,16,0,-36567658
Aaron Seltzer,131,515005,Horror|Sci-Fi|Thriller,Jason London,The Rage: Carrie 2 ,13065,115,English,11900000,2014,9,16,897,-11384995
Abel Ferrara,251,75030163,Action|Comedy|Crime|Thriller,Bokeem Woodbine,The Big Hit ,24834,840,English,3500159,1988,9,16,934,71530004
Adam Brooks,9,244052771,Adventure|Animation|Family|Fantasy,Sean Lennon,The Secret of Kells ,22811,98,English,500000,2005,8.9,16,11000,243552771
Adam Carolla,205,85911262,Comedy|Musical,Buster Keaton,A Funny Thing Happened on the Way to the Forum ,6804,447,English,500000,2008,8.9,16,805,85411262
Adam Goldberg,20,88658172,Animation|Comedy|Family|Romance,Saif Ali Khan,Roadside Romeo ,922,59,English,500000,1988,8.9,16,39,88158172
Adam Green,15,40566655,Comedy,Sunil Narkar,Coffee Town ,4204,22,English,150000,2005,8.9,16,0,40416655
